직업코드,직업 대분류명,직업 중분류명,직업 소분류명,하는일,되는길,관련 전공 코드,관련 전공명,관련자격증명,임금,직업만족도,일자리전망,일자리현황,업무수행능력,지식,업무환경,성격,흥미,직업 가치관,업무활동 중요도,업무활동 수준
011102,경영·사무·금융·보험직,의회의원·고위공무원 및 기업 고위임원,고위공무원,중앙 및 지방행정기관에서 정부정책과 그에 관련된 정책 집행을 기획·지휘·조정한다.,"고위공무원이 되기 위한 방법으로는 공무원 공개채용시험에 합격하여 승진경로를 밟거나 특별채용되는 방법이 있다. 공무원의 채용은 공개채용을 원칙으로 하되 공개채용시험에 의한 충원이 곤란한 분야에 한해 제한적으로 특별채용시험으로 뽑고 있다. 시험응시는 학력 및 경력의 제한이 없으나 지방직의 응시자격은 지역거주자로 제한하고 있다.
공무원이 되기 위한 특별한 교육과정은 없으며 보통 사설학원을 다니거나 독학으로 시험을 준비한다. 시험에 합격하면 합격자가 채용 후보자 명부에 등록을 해야 하며, 시험실시기관에서는 각급 기관에 결원이 생길 때마다 시험성적, 훈련성적, 적성 등을 참작하여 임용을 추천하게 되며 이들의 승급 및 승진은 국가공무원법에 의해 이루어진다.",,,,"조사년도:2021년, 임금 하위(25%) 8806만원, 평균(50%) 9324만원, 상위(25%) 10000만원",80.3,증가(3%) 현상유지(93%) 감소(3%),고위공무원,인적자원 관리(100)/협상(99)/듣고 이해하기(99)/말하기(99)/문제 해결(99),경영 및 행정(100)/인사(100)/철학과 신학(97)/법(96)/사회와 인류(96),"의사결정 권한(99)/의사결정 가능성(99)/연설, 발표, 회의하기(96)/이미지/평판/재정에 미치는 강도(96)/다른 사람들을 조율하거나 이끌기(93)",리더십(96)/성취/노력(96)/사회성(90)/정직성(88)/혁신(86),사회형(Social)(97)/진취형(Enterprising)(96),애국(99)/타인에 대한 영향(98)/성취(98)/다양성(96)/인정(94),"인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/행정, 관리 업무(100)/업무 계획, 우선순위 결정(99)/업무, 활동에 대한 일정관리(99)","인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/행정, 관리 업무(100)/업무 계획, 우선순위 결정(100)/의사 결정, 문제점 해결(100)"
011201,경영·사무·금융·보험직,의회의원·고위공무원 및 기업 고위임원,기업고위임원,"기업의 기본적인 경영방침과 사업목표를 계획하고, 사업목표를 달성하기 위한 체계적인 전략과 정책을 수립하며 이를 지휘하고 조정한다.","기업고위임원에게 특별히 요구되는 학력, 자격은 없지만 일반적으로 대학 이상의 학력 소지자가 대부분이고 사업체의 성격에 따라 해당 분야의 석사 또는 박사학위, 기술사 또는 기타 전문자격증이나 면허가 요구되기도 한다. 기업고위임원은 기업의 소유자(대주주)이거나 기업의 사원으로 입사하여 진급할 수도 있고, 해당 분야의 전문가로 능력을 인정받아 기업에 스카우트될 수도 있다. 기업고위임원이 되기 위해서는 해당 분야에 대한 충분한 실무경험과 지식을 갖추어야 한다. 소속되어 있는 기업 관련 전문지식은 물론이고 비즈니스능력, 의사결정능력, 정보 수집능력, 리더십, 협상능력 등을 갖추고 있어야 한다. 또한, 외국 진출을 모색하는 기업이 증가함에 따라 외국어 능력도 갖춰야 한다. 관련 교육으로는 기업에서 자체 프로그램을 운영하여 최고경영층과 부서관리자의 교육 훈련을 수행하고 있으며, 대학교, 관련 협회 등과 같은 외부기관에서 ‘최고경영자과정(AMP：Advanced management Program)’과 같은 교육프로그램을 운영하고 있다.",,,CIA(외국)/경영지도사(국가전문)/기술지도사(국가전문)/,"조사년도:2021년, 임금 하위(25%) 9324만원, 평균(50%) 12000만원, 상위(25%) 17000만원",79.5,증가(16%) 현상유지(66%) 감소(16%),기업고위임원,인적자원 관리(100)/조직체계의 분석 및 평가(100)/재정 관리(99)/모니터링(Monitoring)(98)/판단과 의사결정(98),경영 및 행정(100)/인사(100)/경제와 회계(100)/영업과 마케팅(98)/사회와 인류(98),결과에 대한 책임(99)/의사결정 가능성(99)/건강 및 안전에 대한 책임(99)/이미지/평판/재정에 미치는 강도(98)/이미지/평판/재정에 미치는 영향력(98),리더십(99)/혁신(96)/협조(95)/성취/노력(94)/책임과 진취성(93),진취형(Enterprising)(99)/탐구형(Investigative)(81),인정(96)/경제적 보상(94)/타인에 대한 영향(92)/성취(87)/자율(86),"인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/상사, 동료, 부하직원과 소통(100)/사람들의 업무와 활동을 조직, 편성(100)/자원 관리(100)","인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/사람들의 업무와 활동을 조직, 편성(100)/자원 관리(100)/업무 계획, 우선순위 결정(100)"
012201,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,경영지원관리자,"행정 및 경영지원 업무를 기획, 지휘 및 조정하는 업무를 수행한다.","주로 경영지원, 일반행정 관련 부서의 사무원으로 일하다가 경력을 쌓아 승진해서 관리자가 되는 경우가 많다. 주요 관련학과로는 경제학과, 경영학과, 무역학과, 회계학과, 행정학과, 비서행정학과 등이 있으며, 관리자의 역량을 키우기 위한 관리자 교육을 별도 받기도 한다.",1/7/,경영학과/세무·회계학과/,ERP정보관리사[물류/생산/인사/회계](국가공인 민간)/전산세무1급 전산세무2급 전산회계1급 전산회계2급/,"조사년도:2021년, 임금 하위(25%) 5190만원, 평균(50%) 7500만원, 상위(25%) 8653만원",76.9,증가(0%) 현상유지(63%) 감소(37%),경영지원관리자,재정 관리(99)/협상(95)/인적자원 관리(94)/판단과 의사결정(92)/설득(89),인사(99)/경제와 회계(99)/경영 및 행정(99)/법(96)/사무(93),자동화 정도(96)/결과에 대한 책임(95)/의사결정 가능성(94)/갈등 상황(93)/의사결정 권한(92),정직성(94)/신뢰성(93)/리더십(90)/자기통제(86)/분석적 사고(85),관습형(Conventional)(97)/진취형(Enterprising)(94),타인에 대한 영향(89)/자율(87)/인정(87)/신체활동(83)/경제적 보상(77),"인사 업무(100)/자원 관리(100)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/사람들에게 조언, 상담(99)/사람들을 훈련, 교육(98)","인사 업무(100)/자원 관리(100)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/사람들의 능력 개발, 지도(99)/사람들의 업무와 활동을 조직, 편성(98)"
012101,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,정부행정관리자,"고위공무원의 포괄적인 지휘 하에 부처 내 다른 부서 관리자와 의논하여 해당 부서의 행정업무를 기획, 지휘 및 조정하거나, 또한 지방관서 기관장으로서 지방관서의 행정업무를 기획, 지휘 및 조정한다.","정부행정관리자가 되려면 공무원 시험에 합격하거나 특별채용이 되어야 한다. 공무원 시험은 국가공무원 시험과 지방공무원 시험이 있으며 관리자급으로 승격하려면 5급 공무원 채용시험인 행정고등고시를 통하는 것이 유리하다. 공무원 시험을 위한 정규 교육과정이나 훈련은 없으며 보통 사설학원을 다니거나 독학으로 준비한다. 공무원 시험 과목과 관련이 있는 행정학, 법학, 경영학, 경제학 등의 전공을 하면 유리하며, 세무직은 회계학, 세무학을, 교육행정직은 교육학 등을 전공하면 시험에 도움이 된다. 행정고등고시의 경우 1차 공직적격성시험(PSAT), 2차 논문형 필기시험, 3차 면접을 치르게 된다.",1/19/,경영학과/행정학과/,,"조사년도:2021년, 임금 하위(25%) 5950만원, 평균(50%) 6717만원, 상위(25%) 7770만원",81.8,증가(7%) 현상유지(63%) 감소(30%),정부행정관리자,모니터링(Monitoring)(99)/인적자원 관리(98)/문제 해결(98)/행동조정(96)/논리적 분석(96),인사(99)/경영 및 행정(99)/법(93)/사회와 인류(91)/사무(89),"공문, 문서 주고받기(96)/결과에 대한 책임(95)/연설, 발표, 회의하기(92)/다른 사람들을 조율하거나 이끌기(90)/이메일 이용하기(85)",리더십(92)/사회성(83)/혁신(75)/협조(72)/자기통제(71),사회형(Social)(84)/진취형(Enterprising)(82),자율(97)/애국(96)/타인에 대한 영향(95)/고용안정(94)/경제적 보상(92),"목표, 전략 수립(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/인사 업무(99)/사람들의 업무와 활동을 조직, 편성(99)/업무 계획, 우선순위 결정(99)","부하 직원들에게 업무 안내, 지시, 동기부여(100)/목표, 전략 수립(100)/사람들의 업무와 활동을 조직, 편성(99)/업무 계획, 우선순위 결정(99)/인사 업무(99)"
012402,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,보험관리자,"회사의 보험정책에 따라 보험인수 시 위험정도 평가와 청약서 검토를 통해 청약을 수락·거절하며, 보험금지급 계획을 수립하고 종업원들을 지휘·감독한다.","보험관리자는 보험분야에서의 근무경험을 토대로 팀장, 영업소장, 국장(지점장) 등으로 승진하여 관리자가 된다. 목표달성 시에는 다양한 경품이나 인센티브를 제공받으며 인사와 교육업무를 수행한다.    관련 학과로는 상업계 고등학교 금융정보과, 전문대학 및 대학교의 보험학과, 금융학과, 보험금융학과 등이 있다. 관련 자격으로는 국가자격으로는 금융감독원에서 주관하는 보험중개사(생명보험, 손해보험, 제3보험), 생명보험협회에서 주관하는 보험설계사, 변액보험판매자 등이 있다.",6/12/13/,금융·보험학과/수학과/통계학과/,보험계리사(국가전문)/보험중개사(국가전문)/,"조사년도:2021년, 임금 하위(25%) 5900만원, 평균(50%) 7000만원, 상위(25%) 8394만원",66.6,증가(0%) 현상유지(52%) 감소(47%),보험관리자,인적자원 관리(99)/설득(99)/협상(99)/시간 관리(98)/모니터링(Monitoring)(98),영업과 마케팅(100)/경영 및 행정(99)/경제와 회계(99)/인사(98)/상담(98),"치열한 경쟁(100)/연설, 발표, 회의하기(100)/다른 사람들을 조율하거나 이끌기(96)/결과에 대한 책임(95)/갈등 상황(93)",리더십(99)/사회성(98)/인내(97)/성취/노력(97)/스트레스 감내성(97),진취형(Enterprising)(99)/사회형(Social)(91),성취(91)/자율(83)/타인에 대한 영향(83)/경제적 보상(82)/인정(82),"사람들의 업무와 활동을 조직, 편성(100)/사람들에게 영향력 행사(99)/인사 업무(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/자원 관리(99)","사람들에게 영향력 행사(99)/인사 업무(99)/자원 관리(98)/사람들의 업무와 활동을 조직, 편성(98)/대인관계 유지(98)"
012401,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,금융관리자,"보험, 금융업체 및 기타 사업체의 운영부서나 신용부서의 활동을 기획, 지휘 및 조정한다.","금융관리자는 해당 분야 대학졸업 이상의 학력과 실무자로서의 충분한 업무 경력이 있어야 한다. 금융관리자의 경우 거의 80%가 경영/경제, 사회과학, 법률전공자들이다. 이들은 대부분 사원으로 입사하여 경험과 기술을 습득하고 승진을 통해 관리자가 되는데, 승진기간은 업체 또는 개인능력에 따라 다양하지만 사원으로 입사하여 부장으로 승진하는 데 통상 20여 년이 소요된다. 요즘은 연공서열보다는 능력중심의 인사제도로 바뀌고 있어 30대 이사가 등장하기도 한다.",2/7/,경제학과/세무·회계학과/,FRM[국제금융위험관리사](외국)/국제금융역(국가공인 민간)/,"조사년도:2021년, 임금 하위(25%) 7800만원, 평균(50%) 9000만원, 상위(25%) 10360만원",74.6,증가(13%) 현상유지(57%) 감소(30%),금융관리자,설득(98)/협상(98)/판단과 의사결정(98)/인적자원 관리(97)/모니터링(Monitoring)(97),경제와 회계(100)/경영 및 행정(100)/영업과 마케팅(99)/산수와 수학(98)/인사(98),"자동화 정도(99)/연설, 발표, 회의하기(98)/마감시간(98)/치열한 경쟁(97)/반복적인 신체행동, 정신적 활동(95)",사회성(98)/정직성(97)/스트레스 감내성(95)/자기통제(94)/신뢰성(93),진취형(Enterprising)(98)/관습형(Conventional)(77),경제적 보상(94)/이타(92)/고용안정(92)/인정(87)/심신의 안녕(87),"인사 업무(100)/대인관계 유지(99)/상사, 동료, 부하직원과 소통(99)/사람들의 업무와 활동을 조직, 편성(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)","인사 업무(98)/업무, 활동에 대한 일정관리(97)/상사, 동료, 부하직원과 소통(97)/협상, 갈등 해결(96)/사람들의 능력 개발, 지도(96)"
013401,경영·사무·금융·보험직,전문서비스 관리자,보건·의료관리자,보건 및 의료서비스를 제공하는 기관 내에서 진단·처치·간호 및 치료 등의 건강관리 서비스를 기획·지휘·조정한다.,"병원이나 보건소 등의 보건 및 의료서비스를 제공하는 기관 내에서 진단, 처치, 간호 및 치료 등의 건강관리 서비스를 기획, 지휘, 조정하는 보건의료관리자가 되려면 의료현장에서 의료인으로 종사하다가 관리자로 승진하는 경우가 있고 또한 병원의 행정업무를 담당하다가 관리 업무를 수행하는 경우가 있다. 고등교육기관에서 경영학 등의 관리와 관련된 전공을 공부하거나 혹은 의약계열에서 공부를 해야 한다.",1/,의학과/,간호사(국가전문)/산업보건지도사[산업위생공학](국가공인 민간)/인간공학기사(국가기술)/,"조사년도:2021년, 임금 하위(25%) 7500만원, 평균(50%) 8806만원, 상위(25%) 12432만원",78.5,증가(70%) 현상유지(27%) 감소(3%),보건·의료관리자,인적자원 관리(99)/조직체계의 분석 및 평가(97)/서비스 지향(97)/모니터링(Monitoring)(97)/범주화(96),의료(100)/인사(100)/경영 및 행정(96)/상담(95)/심리(95),질병 혹은 감염 위험 노출(99)/건강 및 안전에 대한 책임(99)/결과에 대한 책임(99)/의사결정 권한(99)/의사결정 가능성(99),사회성(93)/리더십(90)/신뢰성(90)/정직성(90)/자기통제(86),사회형(Social)(89)/관습형(Conventional)(82),이타(97)/자율(95)/고용안정(95)/경제적 보상(94)/인정(94),"인사 업무(100)/자원 관리(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/의사 결정, 문제점 해결(99)/사람들의 업무와 활동을 조직, 편성(99)","인사 업무(100)/자원 관리(100)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/행정, 관리 업무(99)/조직 외부인과 소통(98)"
013501,경영·사무·금융·보험직,전문서비스 관리자,사회복지관리자,사회복지시설의 인사 및 재정 전반을 관리·감독하고 시설수용자의 보호업무를 수행한다.,"사회복지관련관리자가 되기 위해서는 일반적으로 사회복지사 자격증을 취득해야 한다. 보통 전문대학 및 대학교, 대학원에서 사회복지학 및 사회복지관련학을 전공하면 사회복지사 2급 자격을 취득하게 되고 졸업 후 국가시험에 합격하면 1급 사회복지사를 취득할 수 있다. 대학에서 사회복지학을 전공하면 사회복지의 기초이론과 방법론 및 각 분야를 전반적으로 학습하게 되기 때문에 향후 업무수행을 하는 데 많은 도움이 된다. 구체적으로 사회복지개론, 사회복지실천방법론, 노인복지론, 아동복지론, 장애인복지론, 가족복지론 등의 과목이 포함되며 학기 중이나 방학 중에 사회복지 현장실습도 하게 된다.    보건복지부에서 시행하는 사회복지사 1, 2, 3급이 있다. 사회복지사 1급 국가시험은 대학에서 관련 법령이 정하는 사회복지학 전공 및 관련 교과목을 이수한 학사학위 취득자나 대학원에서 사회복지학이나 사회사업학을 전공한 석사 또는 박사 학위 취득자 등이 응시하여 합격하면 취득할 수 있다. 사회복지사 2급은 대학 및 전문대학에서 사회복지학관련 교과목을 이수하고 졸업한 자, 사회복지사 3급 자격증 소지자로 3년 이상 사회복지사업의 실무 경험이 있는 자 등이 자격을 취득할 수 있다. 사회복지사 3급은 전문대학 졸업자로 보건복지부장관이 지정한 교육훈련기관에서 12주 이상 사회복지사업에 관한 교육훈련을 이수한 자, 고등학교 졸업자로 교육훈련기관에서 24주 이상 사회복지사업에 관한 교육훈련을 이수한 자 등이 자격을 취득할 수 있다. 그리고 정신보건의료 영역에서 근무하는 사회복지사의 경우 정신보건사회복지사 자격증이 별도로 존재한다. 일반적으로 사회복지사 1급 자격소지자로 보건복지부장관이 지정한 전문요원 수련기관에서 1년 이상의 수련을 마치고 자격시험에 통과하면 정신보건사회복지사 2급을 취득할 수 있다. 또한 사회복지학 또는 사회사업학을 전공한 석사학위 이상 소지자로 전문요원 수련기관에서 3년 이상의 수련을 마치면 1급 자격을 취득할 수 있다.     입직경로 및 진출분야는 주로 사회복지관, 노인복지관, 장애인복지관, 지역아동센터 등과 같은 사회복지이용시설이나 장애인재활시설, 아동양육시설, 모·부자복지시설, 노인요양시설 등이 있다. 또 정신보건사회복지사는 요양시설, 종합병원 및 정신병원 등의 의료기관으로 진출한다.",10/,사회복지학과/,"보육교사(국가전문)/사회복지사 1,2,3급(국가전문)/사회복지사 1,2급(국가전문)/","조사년도:2021년, 임금 하위(25%) 3600만원, 평균(50%) 4500만원, 상위(25%) 4973만원",76.1,증가(80%) 현상유지(20%) 감소(0%),사회복지관리자,모니터링(Monitoring)(95)/설득(94)/재정 관리(94)/서비스 지향(94)/인적자원 관리(94),인사(99)/상담(99)/경영 및 행정(99)/사회와 인류(99)/심리(98),건강 및 안전에 대한 책임(99)/결과에 대한 책임(99)/의사결정 권한(98)/의사결정 가능성(98)/다른 사람들을 조율하거나 이끌기(97),리더십(89)/사회성(89)/정직성(88)/스트레스 감내성(85)/타인에 대한 배려(81),사회형(Social)(100)/진취형(Enterprising)(97),이타(97)/애국(77)/성취(68)/타인에 대한 영향(67)/고용안정(60),"사람들을 배려, 돌봄(100)/자원 관리(99)/인사 업무(99)/부하 직원들에게 업무 안내, 지시, 동기부여(98)/대인관계 유지(98)","사람들을 배려, 돌봄(99)/인사 업무(99)/부하 직원들에게 업무 안내, 지시, 동기부여(98)/자원 관리(97)/사람들에게 조언, 상담(97)"
013305,경영·사무·금융·보험직,전문서비스 관리자,경찰·소방·교도관리자,"경찰, 소방, 교도 관련 공공서비스를 제공하는 사업체나 공공기관의 운영을 기획, 지휘 및 조정한다. 직원들의 면접, 고용 및 훈련을 담당한다.","·경찰관리자가 되기 위한 방법으로 경찰간부후보생이 되는 방법과 경찰대학에 입학하는 방법이 있다. 먼저 경찰간부후보생의 경우는 경찰간부후보생시험에 합격하여 경찰종합학교에서 1년간 소정의 교육을 이수하면 된다. 그리고 경찰대학에 입학하는 경우는 4년간 교육을 이수하여 경위로 임관되어 경찰관으로 근무할 수 있다. 비정기적으로 경찰관리자를 특별채용하는 경우도 있다.
· 소방관리자가 되기 위해서는 소방직공무원 공개채용시험을 통해 소방관이 되거나 소방간부후보생 선발시험에 합격해야 한다. 또한 반드시 대학교의 소방관리학과 등을 전공할 필요는 없지만 대학에서 전공을 하게 되면 채용시험에 응시할 기회가 있고 소방관련 학문을 체계적으로 배울 수 있다는 장점이 있다. 소방간부후보생시험은 소방방재청 주관으로 2년마다 실시되며 응시연령과 신체기준은 일반소방공무원과 같고 시험과목은 계열별로 차이가 있다. 합격하면 중앙소방학교에서 1년간 어학, 소양과목, 전문과목의 교육을 받은 후 초급간부인 소방위(6급상당)로 임관하며 소방파출소장, 119구조대장으로 근무하게 된다.
· 교도관리자가 되기 위한 방법으로는 국가직 공무원 채용시험과 특별채용시험을 통하여 교도관으로 임용되어야 한다. 응시에 필요한 학력 및 경력 제한은 없으나 국가공무원법에 따른 결격사유가 있어서는 안 된다. 신체조건에 있어서 남자의 경우 신장이 165cm 이상(여자는 154cm 이상)이어야 하는 등 신장, 체중, 흉위, 시력, 색신 등에 제한이 있다. 시험과목은 7급 교정직(교정)의 경우 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 형사소송법, 행정법)을 치르면 되고 9급 교정직(교정)의 경우 필수 5과목(국어, 영어, 한국사, 교정학개론, 형사소송법개론)을 치르면 된다. 이밖에 7급 교정직(교회)은 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 교육학, 심리학)을 치르게 되고, 7급 교정직(분류)은 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 심리학, 사회학)을 치르게 된다. 이 외에 취업보호대상자 및 취업지원대상자, 워드프로세서 및 컴퓨터 활용능력 1~3급 자격증 소지자, 국가기술자격증(기술사, 기사, 산업기사, 기능사)중 사무관리 및 통신정보처리분야 자격증 소지자, 변호사, 법무사 자격증 소지자에 대해 가산점을 부여하고 있다.",20/11/9/29/10/19/,경찰행정학과/경호학과/법학과/소방방재학과/응급구조학과/행정학과/,"1급/2급/특급 소방안전관리자(국민안전처)/1종 보통 운전면허/소방기술사/소방설비기사/산업기사(전기 및 기계분야)/소방시설관리사(국민안전처)/소방안전교육사(국민안전처)/위험물기능사/기능장/산업기사/응급구조사(보건복지부)/화재감식평가기사/산업기사,/화재조사관(국민안전처)/","조사년도:2021년, 임금 하위(25%) 3626만원, 평균(50%) 4427.4만원, 상위(25%) 4950만원",71.8,증가(47%) 현상유지(52%) 감소(0%),경찰·소방·교도관리자,조직체계의 분석 및 평가(98)/사람 파악(94)/추리력(89)/판단과 의사결정(87)/청력(84),법(99)/안전과 보안(99)/인사(97)/교육 및 훈련(94)/상담(91),"결과에 대한 책임(96)/건강 및 안전에 대한 책임(95)/공문, 문서 주고받기(92)/다른 사람들을 조율하거나 이끌기(91)/다른 사람과의 상호작용(90)",리더십(88)/협조(81)/스트레스 감내성(81)/자기통제(80)/타인에 대한 배려(79),사회형(Social)(85)/진취형(Enterprising)(84),애국(98)/이타(90)/타인에 대한 영향(88)/고용안정(85)/인정(83),"부하 직원들에게 업무 안내, 지시, 동기부여(97)/사람들을 훈련, 교육(96)/협상, 갈등 해결(93)/상사, 동료, 부하직원과 소통(90)/행정, 관리 업무(90)","부하 직원들에게 업무 안내, 지시, 동기부여(97)/사람들을 훈련, 교육(97)/협상, 갈등 해결(95)/인사 업무(93)/자원 관리(93)"
013101,경영·사무·금융·보험직,전문서비스 관리자,연구관리자,"인문과학, 사회과학, 생명과학, 자연과학 및 공학 분야의 연구 활동을 기획, 지휘, 조정한다.",연구관리자가 되기 위해서는 일반적으로 각 분야의 연구자로 근무해야 한다. 보통 박사 혹은 석사 이상의 학력이 필요하며 해당 분야에서 오랜 연구 경험과 실적 그리고 사람들과 자원 혹은 일정을 관리하는 능력이 필요하다.,,,,"조사년도:2021년, 임금 하위(25%) 6500만원, 평균(50%) 7925.4만원, 상위(25%) 8500만원",76.6,증가(23%) 현상유지(40%) 감소(37%),연구관리자,조직체계의 분석 및 평가(100)/인적자원 관리(99)/재정 관리(99)/범주화(98)/시간 관리(98),인사(97)/경영 및 행정(95)/영어(94)/사회와 인류(94)/국어(88),결과에 대한 책임(91)/앉아서 근무(89)/이메일 이용하기(88)/의사결정 권한(86)/재택근무(85),리더십(88)/혁신(79)/분석적 사고(78)/성취/노력(64)/독립성(60),진취형(Enterprising)(94)/탐구형(Investigative)(92),자율(99)/신체활동(97)/경제적 보상(96)/고용안정(92)/타인에 대한 영향(92),"정보, 자료 분석(95)/사물, 행동, 사건 파악(94)/절차, 자료, 주변환경 관찰(92)/업무 계획, 우선순위 결정(89)/의사 결정, 문제점 해결(88)","절차, 자료, 주변환경 관찰(98)/업무 계획, 우선순위 결정(97)/정보, 자료 분석(96)/의사 결정, 문제점 해결(95)/사물, 행동, 사건 파악(94)"
